НАЗВАНИЕ,ГОРОД,ID ТОЧКИ,АДРЕС,РЕЖИМ РАБОТЫ
Сбер Логистика,Москва,Почтовый терминал,"ул. Маршала Захарова, 13, корп. 1, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"ул. Народного Ополчения, 39, корп. 1, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"Большая Дорогомиловская ул., 10, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"ул. Вавилова, 19, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"Кутузовский просп., 9, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Экспедирование грузов,"Кутузовский просп., 30, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Селезнёвская ул., 32, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"ул. Народного Ополчения, 20, корп. 1, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"1-я Тверская-Ямская ул., 11, Москва",До открытия 29 мин
СберЛогистика,Москва,Почтовый терминал,"Ленинградский просп., 76, корп. 2, Москва",Открыто до 19:30
Сберлогистика,Москва,Почтовый терминал,"ул. Плющиха, 42, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Петровский бул., 23, Москва",Открыто до 19:30
СберЛогистика,Москва,Почтовый терминал,"Неманский пр., 9, Москва",Круглосуточно
"Сбер Логистика, сеть постаматов",Москва,Почтовый терминал,"Хорошёвское ш., 27, Москва",Открыто до 21:00
СберЛогистик,Москва,Почтовый терминал,"Ходынский бул., 2, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Дмитровское ш., 98, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Башиловская ул., 11, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Алтуфьевское ш., 8, Москва, этаж 1",Открыто до 23:00
Сберлогистика,Москва,Почтовый терминал,"Новотушинский пр., 8, корп. 1, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"Кутузовский просп., 27, Москва",До открытия 29 мин
Сберлогистика,Москва,Почтовый терминал,"Щёлковское ш., 34, стр. 3, Москва",График работы не указан
СберЛогистика,Москва,Почтовый терминал,"Медынская ул., 5А, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"ул. Ивана Франко, 36, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Рублёвское ш., 42, корп. 1, Москва",График работы не указан
Сберлогистика,Москва,Почтовый терминал,"Можайское ш., 4, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"пр. Дежнёва, 27, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Молодогвардейская ул., 25, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Осенний бул., 23, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"просп. Маршала Жукова, 44, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"Кастанаевская ул., 24, Москва, этаж 2",Открыто до 19:30
Сберлогистика,Москва,Почтовый терминал,"Красноказарменная ул., 23, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Петровско-Разумовский пр., 24, корп. 2, Москва",Круглосуточно
СберЛогистика,Москва,Экспедирование грузов,"ул. Верхняя Масловка, 25, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Енисейская ул., 29, стр. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Смоленская ул., 6, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Шоссейная ул., 1/2с2, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"Октябрьский просп., 304, Люберцы",Круглосуточно
Сберлогистика,Москва,не указан,"Пятницкое ш., 43, корп. 2, Москва",Круглосуточно
Сберлогистика,Москва,не указан,"Пятницкое ш., 39, Москва",Круглосуточно
СберЛогистика,Москва,не указан,"Брянская ул., 8, Москва",Открыто до 19:30
Сберлогистика,Москва,не указан,"ул. Нижняя Масловка, 14, Москва",Круглосуточно
СберЛогистика,Москва,не указан,"Таллинская ул., 26, Москва",Открыто до 19:30
Сберлогистика,Москва,не указан,"Дмитровское ш., 64, корп. 2, Москва",Круглосуточно
СберЛогистика,Москва,не указан,"ул. Генерала Белобородова, 13, Москва",Круглосуточно
СберЛогистика,Москва,не указан,"просп. Мира, 211, корп. 2, Москва, этаж 1",До открытия 28 мин
Сберлогистика,Москва,не указан,"ул. Егора Абакумова, 10, корп. 1, Москва",Круглосуточно
"СберЛогистика, служба курьерской доставки",Москва,не указан,"Тушинская ул., 17, Москва",Открыто до 20:00
"Сбер Логистика, сеть постаматов",Москва,не указан,"Ленинский просп., 45, Москва",Круглосуточно
Сберлогистика,Москва,не указан,"Молодёжная ул., 21, Одинцово",Открыто до 20:00
Сберлогистика,Москва,не указан,"Сухонская ул., 9А, Москва",Круглосуточно
Сберлогистика,Москва,не указан,"ул. Земляной Вал, 42, стр. 1, Москва",Круглосуточно
Сберлогистика,Москва,не указан,"Бескудниковский бул., 40, корп. 3, Москва",Открыто до 18:30
"Сбер Логистика, служба курьерской доставки",Москва,не указан,"Шипиловский пр., 39, корп. 1, Москва",Открыто до 19:30
Сберлогистика,Москва,не указан,"ул. Римского-Корсакова, 2, Москва",Круглосуточно
Сбер Логистика,Нижний Новгород,Почтовый терминал,"ул. Ванеева, 24, Нижний Новгород",Круглосуточно
Багира,Нижний Новгород,Ветеринарная клиника,"Россия, Нижний Новгород, Малая Ямская улица, 3, этаж 1",Открыто до 20:00
Багира,Нижний Новгород,Ветеринарная клиника,"Россия, Нижний Новгород, улица Ванеева, 227",Открыто до 20:00
Сбер логистика,Нижний Новгород,Почтовый терминал,"просп. Гагарина, 20, Нижний Новгород, этаж 1",Круглосуточно
Сбер Логистика,Нижний Новгород,Почтовый терминал,"ул. Родионова, 165, корп. 13, Нижний Новгород",До открытия 19 мин
Сберлогистика,Нижний Новгород,Почтовый терминал,"Совнаркомовская ул., 34, Нижний Новгород",Открыто до 19:00
Сбер Логистика,Нижний Новгород,Почтовый терминал,"ул. Сергея Есенина, 17А, Канавинский район, жилой район Мещерское Озеро, Нижний Новгород",Открыто до 18:30
СберЛогистика,Нижний Новгород,Почтовый терминал,"просп. Ленина, 53, Нижний Новгород",Открыто до 19:00
Сбер Логистика,Нижний Новгород,Почтовый терминал,"ул. Карла Маркса, 7А, Канавинский район, жилой район Мещерское Озеро, Нижний Новгород",Открыто до 18:30
Сберлогистика,Нижний Новгород,Почтовый терминал,"Сормовское ш., 20, Нижний Новгород, этаж 1",До открытия 19 мин
Сберлогистика,Нижний Новгород,Почтовый терминал,"Берёзовская ул., 65, Нижний Новгород",График работы не указан
Сберлогистика,Нижний Новгород,Почтовый терминал,"Берёзовская ул., 95, Нижний Новгород",График работы не указан
